                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4179,                 3.0376,                 3.9015,                0.00484,                0.18331,                0.00431,                0.00173,                 3.2689,                 4.3768,                 4.2676,             0.00065657,             0.00065657,             0.00065657
                      2,                 2.8494,                 2.3243,                 2.9865,                0.15941,                0.20565,                0.10544,                0.04013,                  2.949,                 3.1839,                 3.7739,              0.0013101,              0.0013101,              0.0013101
                      3,                 2.5081,                 2.0013,                 2.6115,                0.33409,                0.55716,                 0.3626,                0.12972,                 2.1473,                 2.3127,                 2.5242,              0.0019505,              0.0019505,              0.0019505
                      4,                 2.2684,                 1.8086,                  2.378,                0.58341,                0.54074,                0.55627,                0.21572,                 1.9982,                  1.715,                 2.3488,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.0733,                 1.5954,                 2.1771,                0.73958,                0.64936,                 0.7316,                0.33656,                 1.7838,                 1.5141,                 2.1295,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.9252,                 1.4675,                 2.0481,                0.78372,                0.66294,                0.77163,                0.36863,                 1.7558,                  1.401,                 2.0603,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.9208,                 1.3988,                 2.0034,                0.86345,                 0.7247,                0.84555,                0.44284,                 1.6589,                 1.1452,                 1.9295,               0.001901,               0.001901,               0.001901
                      8,                 1.7943,                 1.2781,                 1.8969,                 0.8095,                0.75102,                0.83023,                0.41577,                 1.6845,                 1.1978,                 1.9247,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7048,                 1.1965,                 1.8159,                0.84501,                0.79166,                0.88555,                 0.5015,                 1.4899,                0.98832,                 1.7567,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6818,                 1.1593,                 1.7975,                 0.8556,                0.82457,                 0.8984,                0.50364,                 1.4967,                0.94607,                 1.7382,              0.0018416,              0.0018416,              0.0018416
